MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"David Simmonds","Ruislip, Northwood and Pinner BC","","","£5,245.65","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,245.65","","","","£0.00","£0.00","","Uncapped","£8.55","Uncapped","£0.00","£8.55","£5,254.20"
"David Warburton","Somerton and Frome CC","","","£7,999.99","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,999.99","","","","£10,400.00","£0.00","","Uncapped","£72.50","Uncapped","£0.00","£10,472.50","£18,472.49"
"Dawn Butler","Brent Central BC","","","£7,355.92","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,355.92","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£341.99","£341.99","£7,697.91"
"Dean Russell","Watford BC","","","£8,577.01","£0.00","","","","£3,744.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,321.01","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£12,321.01"
"Debbie Abrahams","Oldham East and Saddleworth CC","","","£7,011.08","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,011.08","","","","£7,726.22","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£7,726.22","£14,737.30"
"Dehenna Davison","Bishop Auckland CC","","","£14,420.39","£0.00","","","","£2,000.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£16,420.39","","","","£5,720.01","£0.00","","Uncapped","£1,228.49","Uncapped","£0.00","£6,948.50","£23,368.89"
"Deidre Brock","Edinburgh North and Leith BC","","","£6,643.61","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,643.61","","","","£5,874.59","£0.00","","Uncapped","£831.00","Uncapped","£0.00","£6,705.59","£13,349.20"
"Derek Thomas","St Ives CC","","","£4,844.15","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,844.15","","","","£0.00","£0.00","","Uncapped","£404.60","Uncapped","£0.00","£404.60","£5,248.75"
"Derek Twigg","Halton CC","","","£4,900.28","£0.00","","","","£3,600.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,500.28","","","","£6,434.24","£0.00","","Uncapped","£834.85","Uncapped","£0.00","£7,269.09","£15,769.37"
"Desmond Swayne","New Forest West CC","","","£6,119.30","£0.00","","","","£600.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,719.30","","","","£1,706.32","£0.00","","Uncapped","£1,317.17","Uncapped","£0.00","£3,023.49","£9,742.79"
"Diana Johnson","Kingston upon Hull North BC","","","£9,133.21","£0.00","","","","£3,360.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,493.21","","","","£3,606.43","£0.00","","Uncapped","£70.96","Uncapped","£0.00","£3,677.39","£16,170.60"
"Diane Abbott","Hackney North and Stoke Newington BC","","","£9,879.61","£0.00","","","","£37.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£9,917.21","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£9,917.21"
"Dominic Raab","Esher and Walton BC","","","£4,242.31","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,242.31","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£4,242.31"
"Douglas Chapman","Dunfermline and West Fife CC","","","£8,423.34","£0.00","","","","£6,200.01","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£14,623.35","","","","£0.00","£0.00","","Uncapped","£875.00","Uncapped","£0.00","£875.00","£15,498.35"
"Douglas Ross","Moray CC","","","£8,174.54","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,221.54","","","","£5,062.31","£0.00","","Uncapped","£2,639.49","Uncapped","£0.00","£7,701.80","£18,923.34"
"Drew Hendry","Inverness, Nairn, Badenoch and Strathspey CC","","","£6,993.77","£0.00","","","","£5,107.99","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,101.76","","","","£11,790.21","£0.00","","Uncapped","£2,202.01","Uncapped","£0.00","£13,992.22","£26,093.98"
"Duncan Baker","North Norfolk CC","","","£1,396.47","£0.00","","","","£7,267.61","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,664.08","","","","£7,500.00","£0.00","","Uncapped","£606.60","Uncapped","£0.00","£8,106.60","£16,770.68"
"Eddie Hughes","Walsall North BC","","","£3,802.80","£0.00","","","","£3,488.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,291.40","","","","£2,450.00","£0.00","","Uncapped","£2,721.03","Uncapped","£0.00","£5,171.03","£12,462.43"
"Edward Argar","Charnwood CC","","","£1,218.15","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,265.15","","","","£6,507.96","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£6,507.96","£10,773.11"
"Edward Davey","Kingston and Surbiton BC","","","£8,175.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,175.00","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£8,175.00"
"Edward Leigh","Gainsborough CC","","","£4,454.61","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,454.61","","","","£1,919.72","£0.00","","Uncapped","£1,275.84","Uncapped","£0.00","£3,195.56","£7,650.17"
"Edward Miliband","Doncaster North CC","","","£8,115.70","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,115.70","","","","£2,085.77","£0.00","","Uncapped","£222.00","Uncapped","£0.00","£2,307.77","£10,423.47"
"Edward Timpson","Eddisbury CC","","","£18,373.78","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£18,373.78","","","","£0.00","£0.00","","Uncapped","£1,066.42","Uncapped","£0.00","£1,066.42","£19,440.20"
"Eleanor Laing","Epping Forest CC","","","£5,075.27","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,075.27","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£5,075.27"
"Elizabeth Anne McInnes","Heywood and Middleton CC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£4,059.59","£0.00","£4,059.59","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£118.80","£118.80","£4,178.39"
"Elizabeth Truss","South West Norfolk CC","","","£7,580.73","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,580.73","","","","£1,026.04","£0.00","","Uncapped","£467.40","Uncapped","£0.00","£1,493.44","£9,074.17"
"Ellie Reeves","Lewisham West and Penge BC","","","£11,756.59","£0.00","","","","£438.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,195.19","","","","£0.00","£0.00","","Uncapped","£30.00","Uncapped","£0.00","£30.00","£12,225.19"
"Elliot Colburn","Carshalton and Wallington BC","","","£21,845.23","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£21,845.23","","","","£0.00","£0.00","","Uncapped","£30.40","Uncapped","£0.00","£30.40","£21,875.63"
"Emily Thornberry","Islington South and Finsbury BC","","","£7,086.13","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,086.13","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£7,086.13"
"Emma Hardy","Kingston upon Hull West and Hessle BC","","","£8,757.24","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,757.24","","","","£9,207.32","£0.00","","Uncapped","£1,386.70","Uncapped","£0.00","£10,594.02","£19,351.26"
"Emma Lewell-Buck","South Shields BC","","","£2,847.63","£0.00","","","","£3,600.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,447.63","","","","£5,963.40","£0.00","","Uncapped","£2,083.00","Uncapped","£0.00","£8,046.40","£14,494.03"
"Emma Reynolds","Wolverhampton North East BC","","","-£38.84","£38.84","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£688.09","£0.00","£649.25","","","","-£164.46","£164.46","","Uncapped","£0.00","Uncapped","£0.00","-£164.46","£484.79"
"Esther McVey","Tatton CC","","","£4,712.87","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,759.87","","","","£5,231.71","£0.00","","Uncapped","£830.10","Uncapped","£0.00","£6,061.81","£13,821.68"
"Fabian Hamilton","Leeds North East BC","","","£14,051.46","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£14,051.46","","","","£2,065.29","£0.00","","Uncapped","£41.05","Uncapped","£0.00","£2,106.34","£16,157.80"
"Faisal Rashid","Warrington South BC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£35.50","£0.00","£35.50","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£35.50"
"Fay Jones","Brecon and Radnorshire CC","","","£8,051.29","£0.00","","","","£3,049.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,100.29","","","","£5,655.00","£0.00","","Uncapped","£1,429.30","Uncapped","£0.00","£7,084.30","£18,184.59"
"Felicity Buchan","Kensington BC","","","£10,025.53","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£10,025.53","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£10,025.53"
"Feryal Clark","Enfield North BC","","","£5,674.37","£0.00","","","","£8,700.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£14,374.37","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£14,374.37"
"Fiona Bruce","Congleton CC","","","£17,961.97","£0.00","","","","£1,000.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£18,961.97","","","","£1,648.45","£0.00","","Uncapped","£1,938.10","Uncapped","£0.00","£3,586.55","£22,548.52"
"Fleur Anderson","Putney BC","","","£6,613.50","£0.00","","","","£4,927.20","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,540.70","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£11,540.70"
"Flick Drummond","Meon Valley CC","","","£9,794.82","£0.00","","","","£2,400.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,194.82","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£12,194.82"
"Florence Eshalomi","Vauxhall BC","","","£12,166.24","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,166.24","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£12,166.24"
"Francie Molloy","Mid Ulster","","","£18,620.75","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£18,620.75","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£18,620.75"
"Gagan Mohindra","South West Hertfordshire CC","","","£8,385.82","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,385.82","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£8,385.82"
"Gareth Bacon","Orpington BC","","","£3,698.97","£0.00","","","","£3,049.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,747.97","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£6,747.97"
"Gareth Davies","Grantham and Stamford CC","","","£6,649.62","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,649.62","","","","£0.00","£0.00","","Uncapped","£1,017.45","Uncapped","£0.00","£1,017.45","£7,667.07"
"Gareth Johnson","Dartford CC","","","£8,251.08","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,298.08","","","","£0.00","£0.00","","Uncapped","£362.15","Uncapped","£0.00","£362.15","£11,660.23"
"Gareth Snell","Stoke-on-Trent Central BC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£252.00","£0.00","£252.00","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£252.00"
"Gareth Thomas","Harrow West BC","","","£7,519.28","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,519.28","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£7,519.28"
"Gary Sambrook","Birmingham, Northfield BC","","","£8,651.24","£0.00","","","","£3,391.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,042.24","","","","£4,676.49","£0.00","","Uncapped","£924.30","Uncapped","£0.00","£5,600.79","£17,643.03"
"Gary Streeter","South West Devon CC","","","£6,733.78","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,733.78","","","","£3,245.53","£0.00","","Uncapped","£815.70","Uncapped","£0.00","£4,061.23","£10,795.01"
"Gavin Newlands","Paisley and Renfrewshire North CC","","","£3,021.05","£0.00","","","","£2,775.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,796.05","","","","£11,458.58","£0.00","","Uncapped","£1,622.46","Uncapped","£0.00","£13,081.04","£18,877.09"
"Gavin Robinson","Belfast East","","","£4,533.95","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,533.95","","","","£8,798.30","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£8,798.30","£13,332.25"
"Gavin Williamson","South Staffordshire CC","","","£5,428.84","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,475.84","","","","£4,854.24","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£4,854.24","£13,330.08"
"Geoffrey Clifton-Brown","The Cotswolds CC","","","£4,078.12","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,078.12","","","","£1,563.82","£0.00","","Uncapped","£815.63","Uncapped","£0.00","£2,379.45","£6,457.57"
"Geoffrey Cox","Torridge and West Devon CC","","","£3,813.28","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,860.28","","","","£7,600.00","£0.00","","Uncapped","£1,129.44","Uncapped","£0.00","£8,729.44","£15,589.72"
"George Eustice","Camborne and Redruth CC","","","£6,419.96","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,419.96","","","","£3,750.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£3,750.00","£10,169.96"
"George Freeman","Mid Norfolk CC","","","£9,901.41","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£9,901.41","","","","£3,041.68","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£3,041.68","£12,943.09"
"George Howarth","Knowsley BC","","","£4,440.64","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,440.64","","","","£875.00","£0.00","","Uncapped","£321.20","Uncapped","£0.00","£1,196.20","£5,636.84"
"Geraint Davies","Swansea West BC","","","£10,867.49","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£10,867.49","","","","£5,303.41","£0.00","","Uncapped","£186.80","Uncapped","£480.00","£5,970.21","£16,837.70"
"Gerald Jones","Merthyr Tydfil and Rhymney CC","","","£4,809.62","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,809.62","","","","£7,280.00","£0.00","","Uncapped","£1,129.00","Uncapped","£0.00","£8,409.00","£13,218.62"
"Gerard Killen","Rutherglen and Hamilton West BC","","","-£75.84","£75.84","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","-£75.84","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","-£75.84"
"Giles Watling","Clacton CC","","","£2,644.81","£0.00","","","","£16,797.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£19,441.81","","","","£875.00","£0.00","","Uncapped","£1,570.97","Uncapped","£0.00","£2,445.97","£21,887.78"
"Gill Furniss","Sheffield, Brightside and Hillsborough BC","","","£7,619.40","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,619.40","","","","£6,193.72","£0.00","","Uncapped","£460.48","Uncapped","£0.00","£6,654.20","£14,273.60"
"Gillian Keegan","Chichester CC","","","£7,882.97","£0.00","","","","£187.50","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,070.47","","","","£0.00","£0.00","","Uncapped","£721.17","Uncapped","£0.00","£721.17","£8,791.64"
"Gloria De Piero","Ashfield CC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£0.00","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","-£95.91","-£95.91","-£95.91"
"Gordon Henderson","Sittingbourne and Sheppey CC","","","£2,171.59","£0.00","","","","£3,050.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,221.59","","","","£0.00","£0.00","","Uncapped","£1,224.30","Uncapped","£0.00","£1,224.30","£6,445.89"
"Gordon Marsden","Blackpool South BC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£12.00","£0.00","£12.00","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£425.65","£425.65","£437.65"
"Graham Brady","Altrincham and Sale West BC","","","£4,946.59","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,946.59","","","","£3,422.50","£0.00","","Uncapped","£3,635.67","Uncapped","£0.00","£7,058.17","£12,004.76"
"Graham Jones","Hyndburn BC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£139.72","£0.00","£139.72","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£139.72"
"Graham Stringer","Blackley and Broughton BC","","","£4,599.03","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,599.03","","","","£0.00","£0.00","","Uncapped","£5,490.10","Uncapped","£0.00","£5,490.10","£10,089.13"
"Graham Stuart","Beverley and Holderness CC","","","£8,955.25","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,955.25","","","","£6,337.22","£0.00","","Uncapped","£1,359.30","Uncapped","£0.00","£7,696.52","£16,651.77"
"Grahame Morris","Easington CC","","","£5,705.50","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,705.50","","","","£6,371.83","£0.00","","Uncapped","£309.00","Uncapped","£0.00","£6,680.83","£12,386.33"
"Grant Shapps","Welwyn Hatfield CC","","","£11,885.27","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,885.27","","","","£0.00","£0.00","","Uncapped","£117.81","Uncapped","£0.00","£117.81","£12,003.08"
"Greg Clark","Tunbridge Wells CC","","","£6,759.56","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,759.56","","","","£7,080.00","£0.00","","Uncapped","£619.65","Uncapped","£0.00","£7,699.65","£14,459.21"
"Greg Hands","Chelsea and Fulham BC","","","£4,585.89","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,585.89","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£4,585.89"
"Greg Knight","East Yorkshire CC","","","£6,798.85","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,798.85","","","","£1,464.12","£0.00","","Uncapped","£801.45","Uncapped","£0.00","£2,265.57","£9,064.42"
"Greg Smith","Buckingham CC","","","£1,461.34","£0.00","","","","£5,049.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,510.34","","","","£175.00","£0.00","","Uncapped","£1,251.06","Uncapped","£0.00","£1,426.06","£7,936.40"
"Gregory Campbell","East Londonderry","","","£1,298.21","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£1,298.21","","","","£7,573.21","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£7,573.21","£8,871.42"
"Guto Bebb","Aberconwy CC","","","-£52.93","£52.93","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","-£52.93","","","","-£196.24","£196.24","","Uncapped","£0.00","Uncapped","£0.00","-£196.24","-£249.17"
"Guy Opperman","Hexham CC","","","£11,067.64","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,067.64","","","","£2,112.12","£0.00","","Uncapped","£627.36","Uncapped","£0.00","£2,739.48","£13,807.12"
"Hannah Bardell","Livingston CC","","","£5,603.00","£0.00","","","","£65.99","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,668.99","","","","£5,806.37","£0.00","","Uncapped","£240.90","Uncapped","£0.00","£6,047.27","£11,716.26"
"Harriet Harman","Camberwell and Peckham BC","","","£8,359.77","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,359.77","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£8,359.77"
"Harriett Baldwin","West Worcestershire CC","","","£5,712.84","£0.00","","","","£3,050.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,762.84","","","","£1,230.69","£0.00","","Uncapped","£1,043.55","Uncapped","£0.00","£2,274.24","£11,037.08"
"Heather Wheeler","South Derbyshire CC","","","£4,826.73","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,873.73","","","","£7,000.00","£0.00","","Uncapped","£762.00","Uncapped","£0.00","£7,762.00","£15,635.73"
"Helen Goodman","Bishop Auckland CC","","","-£140.58","£140.58","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","-£140.58","","","","-£744.00","£744.00","","Uncapped","-£23.80","Uncapped","£0.00","-£767.80","-£908.38"
"Helen Grant","Maidstone and The Weald CC","","","£5,107.42","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,154.42","","","","£4,341.98","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£4,341.98","£12,496.40"
"Helen Hayes","Dulwich and West Norwood BC","","","£6,630.19","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,630.19","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£6,630.19"
"Helen Whately","Faversham and Mid Kent CC","","","£6,614.57","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£6,614.57","","","","£16,037.01","£0.00","","Uncapped","£110.06","Uncapped","£0.00","£16,147.07","£22,761.64"
"Henry Smith","Crawley BC","","","£5,587.98","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£5,587.98","","","","£5,929.92","£0.00","","Uncapped","£1,119.00","Uncapped","£0.00","£7,048.92","£12,636.90"
"Hilary Benn","Leeds Central BC","","","£3,731.49","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£3,731.49","","","","£1,473.15","£0.00","","Uncapped","£274.50","Uncapped","£0.00","£1,747.65","£5,479.14"
"Holly Lynch","Halifax BC","","","£8,211.74","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,211.74","","","","£7,730.14","£0.00","","Uncapped","£566.67","Uncapped","£0.00","£8,296.81","£16,508.55"
"Holly Mumby-Croft","Scunthorpe CC","","","£10,998.33","£0.00","","","","£4,633.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£15,631.33","","","","£9,488.12","£0.00","","Uncapped","£972.50","Uncapped","£0.00","£10,460.62","£26,091.95"
"Hugo Swire","East Devon CC","","","£0.00","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£0.00","","","","-£711.69","£711.69","","Uncapped","£0.00","Uncapped","£0.00","-£711.69","-£711.69"
"Huw Merriman","Bexhill and Battle CC","","","£4,871.21","£0.00","","","","£3,058.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,929.21","","","","£0.00","£0.00","","Uncapped","£1,860.14","Uncapped","£0.00","£1,860.14","£9,789.35"
"Hywel Williams","Arfon CC","","","£8,595.36","£0.00","","","","£2,000.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£10,595.36","","","","£8,024.62","£0.00","","Uncapped","£660.65","Uncapped","£0.00","£8,685.27","£19,280.63"
"Iain Duncan Smith","Chingford and Woodford Green BC","","","£14,606.48","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£14,606.48","","","","£0.00","£0.00","","Uncapped","£781.65","Uncapped","£0.00","£781.65","£15,388.13"
"Iain Stewart","Milton Keynes South BC","","","£7,715.35","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£7,715.35","","","","£0.00","£0.00","","Uncapped","£7,459.90","Uncapped","£0.00","£7,459.90","£15,175.25"
"Ian Blackford","Ross, Skye and Lochaber CC","","","£5,288.41","£0.00","","","","£5,550.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£10,838.41","","","","£8,369.91","£0.00","","Uncapped","-£1,507.49","Uncapped","£0.00","£6,862.42","£17,700.83"
"Ian Byrne","Liverpool, West Derby BC","","","£3,908.47","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£3,908.47","","","","£9,207.89","£0.00","","Uncapped","£528.50","Uncapped","£0.00","£9,736.39","£13,644.86"
